LAMBX,LAMBY,order,seasonal_order,rmse,mae,bias,aic,bic,train_n,test_n,exog_vars
9800,22890,"(0, 0, 0)","(0, 1, 1, 12)",1.3904880146897,1.1094797552348972,0.015621862022558006,1574.4058356552127,1602.467527953311,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
1000,24170,"(0, 0, 0)","(0, 1, 1, 12)",1.0350285484801582,0.8566160806525276,-0.6144857422683473,1241.673084254002,1269.7347765521004,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8680,24570,"(0, 0, 0)","(0, 1, 1, 12)",1.4237921397430422,1.0627266675465519,0.023647152228069058,1542.2541729760824,1570.3158652741806,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
4440,21050,"(0, 0, 0)","(0, 1, 1, 12)",1.3072873721489873,0.9680159628774678,0.36142644224330106,1457.6857024884393,1485.7473947865376,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
10360,23050,"(0, 0, 0)","(0, 1, 1, 12)",1.3796184678159231,1.0992861126940086,-0.0050243594936897895,1572.5775419453023,1600.6392342434006,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
4440,19690,"(0, 0, 0)","(0, 1, 1, 12)",1.3441098581083954,1.0733492421684918,-0.48624130265864585,1481.118774412588,1509.1804667106862,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
5560,23290,"(0, 0, 0)","(0, 1, 1, 12)",1.3046572611413763,0.9633530755274798,-0.07274770704379589,1484.0846249820984,1512.1463172801966,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6920,20970,"(0, 0, 0)","(0, 1, 1, 12)",1.3640180131202013,1.0179040277015414,-0.37046597416011506,1517.7832844346551,1545.8449767327534,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8760,23210,"(0, 0, 0)","(0, 1, 1, 12)",1.244170797266342,1.01509343451357,0.4530201821249012,1509.0506029655953,1537.1122952636936,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6360,20410,"(0, 0, 0)","(0, 1, 1, 12)",1.256246448030698,0.9510929712885073,0.051786044846271743,1499.3937228511265,1527.4554151492248,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
9960,25050,"(0, 0, 0)","(0, 1, 1, 12)",1.430155033549083,1.1465778326428364,-0.16506430795727908,1604.3367580245354,1632.3984503226336,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
9480,20970,"(0, 0, 0)","(0, 1, 1, 12)",1.393963460230025,1.079823329442534,-0.16400587708690115,1583.330408890702,1611.3921011888003,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
7480,21450,"(0, 0, 0)","(0, 1, 1, 12)",1.3110922158455698,0.9317519143378871,-0.18649837181503096,1511.4755615809277,1539.537253879026,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
5480,22810,"(0, 0, 0)","(0, 1, 1, 12)",1.3987685625243655,1.077698622073042,-0.47387938762492304,1460.3181233960186,1488.3798156941168,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
1480,23690,"(0, 0, 0)","(0, 1, 1, 12)",1.0550406163492179,0.8557489228729173,-0.151714809740127,1271.5007715820248,1299.562463880123,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
1000,24010,"(0, 0, 0)","(0, 1, 1, 12)",1.050374251721393,0.8938359497684797,-0.44505602167551067,1255.0009428823837,1283.062635180482,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
7000,19050,"(0, 0, 0)","(0, 1, 1, 12)",1.2951136604783886,0.9639561271089638,0.20524144390805663,1497.780401865427,1525.8420941635252,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
3720,24730,"(0, 0, 0)","(0, 1, 1, 12)",1.1510386477638312,0.9803208573511565,-0.5028827542728406,1349.0987197594568,1377.160412057555,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
9000,20890,"(0, 0, 0)","(0, 1, 1, 12)",1.3208681212701987,1.1417230645472016,-0.3677381922740943,1561.732783050702,1589.7944753488002,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
4360,18330,"(0, 0, 0)","(0, 1, 1, 12)",1.295778276464411,0.935272065092367,-0.2662476775453892,1443.885242906028,1471.9469352041262,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6120,24410,"(0, 0, 0)","(0, 1, 1, 12)",1.5102005661455813,1.196931557914889,-0.5081093695098339,1524.09741455344,1552.1591068515384,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
11640,23610,"(0, 0, 0)","(0, 1, 1, 12)",1.7014738372332743,1.3338114403842969,0.38050079272060705,1619.7356833208719,1647.7973756189701,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
4040,17610,"(0, 0, 0)","(0, 1, 1, 12)",1.2317784631076933,0.9927056824395005,-0.20573473884325025,1485.9890082693391,1514.0507005674374,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
10200,22650,"(0, 0, 0)","(0, 1, 1, 12)",1.4116818059413985,1.122649939229472,0.059127376492483036,1579.8684101860176,1607.9301024841159,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
9160,22650,"(0, 0, 0)","(0, 1, 1, 12)",1.3064758350053742,0.9360848204001103,0.31468603055352884,1538.3552681254846,1566.4169604235829,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
1560,23530,"(0, 0, 0)","(0, 1, 1, 12)",1.036883771087814,0.8311745440975628,-0.11420014672234208,1322.4705364961867,1350.532228794285,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
3480,23850,"(0, 0, 0)","(0, 1, 1, 12)",1.241743073317578,0.989642143731117,-0.2938982763995717,1446.4737668319851,1474.5354591300834,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
6680,20250,"(0, 0, 0)","(0, 1, 1, 12)",1.169249105916562,0.8664593606378684,0.18514212916488434,1483.0756113254984,1511.1373036235966,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
8280,23850,"(0, 0, 0)","(0, 1, 1, 12)",1.4065858280135444,1.044844955055084,0.1787584369622873,1578.8870288867595,1606.9487211848577,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
1080,23610,"(0, 0, 0)","(0, 1, 1, 12)",1.1022134749189552,0.9049317304623242,-0.2903079032009979,1306.9438558577597,1335.005548155858,432,48,"PRELIQ,PRENEI,FF,HU,SSI"
