LAMBX,LAMBY,n_observations,MAE_baseline,MAE_advanced,MAE_gain,MAE_gain_percent,RMSE_baseline,RMSE_advanced,RMSE_gain,R2_baseline,R2_advanced,R2_gain,Bias_baseline,Bias_advanced,Bias_abs_gain,advanced_better_MAE
3160,23850,312,1.1589766432077455,1.1775563227824675,-0.018579679574721952,-1.6031107860205223,1.4345313308972427,1.4603395465163942,-0.025808215619151476,0.9061963860675537,0.9027908406975971,-0.0034055453699566307,0.19670790556149606,0.1870273883526142,0.009680517208881856,False
3160,23930,312,1.068353973596524,1.086516718681042,-0.018162745084518095,-1.7000680985324308,1.3142439278482865,1.3438964821764272,-0.029652554328140734,0.9111125145361366,0.9070562273981198,-0.0040562871380168675,0.2429448693226545,0.1169273630166665,0.12601750630598801,False
3160,24010,312,1.1322637781118736,1.1384360664930098,-0.006172288381136148,-0.5451281318412267,1.4010152763872223,1.413993153353059,-0.012977876965836632,0.9073605587002093,0.9056363352874098,-0.0017242234127994305,0.21138877104490228,0.07878470390270917,0.1326040671421931,False
3160,24090,312,1.0644607446132563,1.074938706556956,-0.010477961943699654,-0.9843446079833168,1.3048703542367388,1.3433722819247849,-0.038501927688046056,0.9128160163071045,0.9075951541384291,-0.005220862168675455,0.2835185234363263,0.1899993386024084,0.09351918483391788,False
3160,24170,312,1.1294343434847316,1.1391124902627408,-0.009678146778009156,-0.8569021151020092,1.4014931469099308,1.4122154744915836,-0.010722327581652813,0.9071755540736326,0.905749786933264,-0.0014257671403685723,0.16648603769449088,0.06563125573671783,0.10085478195777306,False
3160,24250,312,1.1150568497486602,1.1413555886500921,-0.026298738901431973,-2.3585110398057147,1.3944322111014822,1.41025689418147,-0.015824683079987745,0.9080989546881975,0.9060012449842585,-0.002097709703938966,0.08972273239722621,0.04793083713604854,0.04179189526117767,False
3160,24330,312,1.1062694045213555,1.1388863248702807,-0.03261692034892527,-2.9483704616270647,1.389559124891608,1.4071564167122728,-0.01759729182066483,0.9087570678572849,0.9064314449094647,-0.0023256229478202384,0.07569623635365409,0.05974318461540415,0.015953051738249943,False
3160,24410,312,1.1262749626086308,1.1389625971133892,-0.012687634504758405,-1.1265130564007069,1.404809664584222,1.4126037148535457,-0.007794050269323671,0.9067070820871376,0.9056690100818575,-0.0010380720052800552,0.10427580093726133,0.07744831427549705,0.02682748666176428,False
3160,24490,312,1.0175636554375673,1.037153493746733,-0.01958983830916572,-1.9251707944248266,1.274690733043314,1.287617222578399,-0.012926489535085128,0.915138697125,0.9134088331194294,-0.001729864005570514,0.20675342327509172,0.16908523639043174,0.03766818688465998,False
3160,24570,312,1.024725134250445,1.0400998708529348,-0.01537473660248967,-1.5003766462443429,1.276151998749804,1.285502786007631,-0.009350787257826898,0.9149603399512026,0.9137095468292064,-0.0012507931219962742,0.2017496203764891,0.16566140896234757,0.036088211414141536,False
3160,24650,312,1.0150225455944355,1.037738498357626,-0.022715952763190606,-2.2379751919586464,1.2692330674102839,1.2860875162807262,-0.016854448870442296,0.9159045849066207,0.9136563094926198,-0.0022482754140009664,0.19847426903553503,0.17704118001155367,0.02143308902398136,False
3160,24730,312,1.004560689131419,1.046685007902292,-0.04212431877087308,-4.193307505123991,1.2667715168077804,1.2967233662572253,-0.029951849449444845,0.9164416706225864,0.9124436109869285,-0.0039980596356579134,0.1964326941050016,0.19131144315768514,0.005121250947316469,False
3160,24810,312,1.0110724216852434,1.042999685727633,-0.03192726404238955,-3.157762328159794,1.2691704953561214,1.2888968430827725,-0.01972634772665116,0.9158882555475909,0.9132532874441814,-0.002634968103409463,0.1257924734017788,0.17610570161770553,-0.050313228215926736,False
3160,24890,312,0.9291277983249762,0.9537950127552717,-0.024667214430295514,-2.65487852960221,1.1610868104712593,1.187383479698118,-0.026296669226858693,0.9222932861851598,0.9187335732727232,-0.003559712912436619,0.06213056918902279,0.16137884855270387,-0.09924827936368108,False
3160,24970,312,0.9265727293797028,0.9506350333874044,-0.024062304007701596,-2.5969147639182286,1.1651335607353586,1.1812035928915827,-0.016070032156224157,0.9217708558243838,0.919598032980258,-0.002172822844125788,0.04778673832233139,0.14117221771142427,-0.09338547938909288,False
3160,25050,312,0.9378374542945469,0.9547531925714933,-0.016915738276946368,-1.8036961735198132,1.1774995036874598,1.180657250568523,-0.0031577468810632947,0.9197660835076986,0.9193351735678249,-0.00043090993987371373,0.05620480531301259,0.13430954279043741,-0.07810473747742483,False
3160,25130,312,0.9355788139196543,0.9540227938921023,-0.018443979972448066,-1.9713977805008311,1.1812071431694897,1.1751878750103424,0.0060192681591473285,0.918716297189358,0.9195426074347094,0.0008263102453514026,0.0033620308607052894,0.05992936660081915,-0.05656733574011386,False
3160,25210,312,0.8805893622911893,0.9005975304505764,-0.020008168159387107,-2.272133756797632,1.0958919983780535,1.1228666751969159,-0.026974676818862342,0.9229981090900377,0.9191607521624244,-0.0038373569276132224,0.11135695408552121,0.13856282020226504,-0.027205866116743832,False
3240,17770,312,1.6480656478649531,1.627024538318316,0.021041109546637182,1.2767154981899935,2.091634834612639,2.027901869430211,0.0637329651824281,0.8378994382281122,0.8476274769139506,0.00972803868583838,-0.14784718751907347,-0.20967466640166746,-0.06182747888259399,True
