year,MAE_baseline,RMSE_baseline,R2_baseline,Bias_baseline,MAE_advanced,RMSE_advanced,R2_advanced,Bias_advanced,MAE_gain,MAE_gain_percent,RMSE_gain,R2_gain,Bias_abs_gain,advanced_better_MAE
2015,1.8195072081116184,2.195123963793255,0.8752427306718599,0.5385367463105631,1.7024973103111474,2.015026325121274,0.8948742257874621,0.657201817693389,0.117009897800471,6.430856513171504,0.18009763867198103,0.01963149511560225,-0.11866507138282589,True
2016,1.0304700617154554,1.3439753126683176,0.9530957379508852,-0.285286017374143,1.0214136551199229,1.235847021448887,0.960339411387378,-0.2373453881933421,0.009056406595532529,0.8788616896308514,0.10812829121943057,0.007243673436492792,0.04794062918080089,True
2017,1.537941719114913,1.8882725397670177,0.9176490195068192,0.3342732544970502,1.5454899206367718,1.8454404359039915,0.921342618604938,0.2602620388328509,-0.007548201521858866,-0.490798931327701,0.04283210386302616,0.0036935990981188382,0.07401121566419933,False
2018,1.682733680857304,2.01980294907773,0.9092348701150028,0.7075952867998044,1.571527858047404,1.969860051870832,0.9136680053012032,0.692748269186104,0.11120582280989999,6.608640694304274,0.04994289720689804,0.004433135186200365,0.014847017613700442,True
2019,1.2692755903800388,1.619503813825002,0.935753337536269,-0.1871419470614595,1.1249288149285464,1.414557949560845,0.9509851013732088,0.2343937885478531,0.14434677545149244,11.372374647831446,0.20494586426415706,0.015231763836939805,-0.04725184148639358,True
2020,1.2264623996214077,1.509937655730914,0.933202203922334,0.3127467523602258,1.2172926986832984,1.5021030448859216,0.9338935927655444,0.3482808272263376,0.009169700938109315,0.7476544687338053,0.007834610844992485,0.0006913888432104054,-0.035534074866111764,True
2021,1.6528856248300772,1.9891216866314896,0.8935847256029669,-0.4047927429144737,1.4222373067938492,1.6404365180991085,0.9276230759973888,-0.4676380349636784,0.23064831803622798,13.954281807002797,0.3486851685323811,0.034038350394421935,-0.06284529204920469,True
2022,1.5731428833327838,1.86288736141372,0.9233111198432578,1.0545694527677565,1.4892919542604623,1.8614033373176084,0.923433255853369,0.7964241255975311,0.0838509290723215,5.330153412046019,0.0014840240961115914,0.0001221360101112401,0.2581453271702254,True
2023,1.2438085131024297,1.609286783402175,0.9374295720034442,0.2459082592959558,1.1117603626151455,1.412420006198638,0.9518018956599318,0.5100911694883532,0.13204815048728413,10.61643726476165,0.19686677720353685,0.014372323656487551,-0.26418291019239737,True
2024,0.8403649332610303,1.0815986076604034,0.9650436587199088,-0.0087643908334283,0.942363063437913,1.165168073499611,0.9594331875799929,-0.083531999872151,-0.10199813017688264,-12.137361536621905,-0.08356946583920766,-0.0056104711399159735,-0.0747676090387227,False
2025,1.3818836189048942,1.7322159680411806,0.9246729585878544,0.4918421165885162,1.1226519331660652,1.433727497906375,0.9483963923827162,0.2711429437160748,0.25923168573882904,18.759299422353905,0.2984884701348056,0.02372343379486186,0.2206991728724414,True
