MONTH,T,PRELIQ,PRENEI,FF,HU,SSI
1967-11-01,8.8,71.1,0.0,4.583333333333333,89.58666666666666,353.15999999999997
1967-12-01,7.561290322580645,81.5,0.0,5.161290322580645,88.5516129032258,201.18064516129033
1968-01-01,7.825806451612903,88.4,0.0,5.216129032258064,87.60967741935484,224.8
1968-02-01,5.651724137931034,111.1,0.0,4.124137931034483,88.37931034482759,472.303448275862
1968-03-01,8.080645161290322,33.0,0.0,5.864516129032259,83.29354838709678,836.1193548387097
1968-04-01,8.870000000000001,68.0,0.0,5.11,80.83,1394.4833333333333
1968-05-01,10.629032258064516,45.5,0.0,4.083870967741936,85.20645161290322,1628.648387096774
1968-06-01,14.696666666666665,69.4,0.0,4.876666666666667,87.78,1573.93
1968-07-01,15.658064516129032,49.8,0.0,4.235483870967743,88.02258064516128,1805.1806451612904
1968-08-01,16.30322580645161,35.3,0.0,4.264516129032257,88.98387096774194,1265.1032258064515
1968-09-01,14.889999999999999,76.8,0.0,4.85,87.73666666666666,924.0233333333333
1968-10-01,14.780645161290321,99.3,0.0,3.7193548387096773,91.63548387096773,494.9129032258064
1968-11-01,10.31,45.1,0.0,3.7333333333333334,88.3,255.18
1968-12-01,7.506451612903225,107.5,2.4,4.509677419354839,88.64838709677419,228.66774193548386
1969-01-01,8.419354838709678,94.7,0.0,5.061290322580645,88.41935483870968,239.6451612903226
1969-02-01,4.607142857142857,103.39999999999999,5.3999999999999995,4.671428571428572,82.46071428571429,461.7964285714285
1969-03-01,7.800000000000001,67.2,0.0,4.387096774193548,84.56451612903226,674.9806451612903
1969-04-01,9.246666666666666,34.8,0.0,4.906666666666666,82.62333333333332,1259.9266666666667
1969-05-01,11.925806451612903,112.9,0.0,4.145161290322581,83.14516129032258,1395.5354838709677
1969-06-01,14.283333333333333,42.8,0.0,3.89,83.75,2126.73
1969-07-01,16.90967741935484,37.2,0.0,3.193548387096774,85.74838709677421,1824.2548387096774
1969-08-01,16.45806451612903,17.099999999999998,0.0,3.7483870967741937,85.47096774193548,1467.1225806451614
1969-09-01,15.51,82.1,0.0,3.7,91.36,842.16
1969-10-01,14.654838709677419,8.2,0.0,2.9838709677419355,84.95161290322581,796.6548387096774
1969-11-01,8.786666666666667,163.3,0.0,4.933333333333334,84.23666666666666,304.44
1969-12-01,6.993548387096775,105.9,0.0,4.909677419354838,85.52903225806452,223.59032258064516
1970-01-01,7.493548387096775,96.2,0.0,5.419354838709677,88.18387096774192,251.44838709677418
1970-02-01,6.614285714285714,134.3,1.4,6.575,86.36071428571428,419.9428571428571
1970-03-01,5.887096774193548,64.8,0.0,5.225806451612903,83.8258064516129,807.0258064516129
1970-04-01,8.28,45.0,0.0,5.926666666666667,86.63000000000001,969.4300000000001
1970-05-01,12.396774193548387,23.400000000000002,0.0,3.47741935483871,85.22258064516129,1555.4322580645162
1970-06-01,16.08,59.8,0.0,3.7133333333333334,84.74333333333334,1661.6766666666667
1970-07-01,15.612903225806452,37.3,0.0,4.374193548387097,84.81935483870969,1412.2548387096774
1970-08-01,16.364516129032257,51.4,0.0,3.541935483870968,87.12258064516129,1333.9354838709678
1970-09-01,16.35,51.5,0.0,4.033333333333333,85.98,1070.4633333333334
1970-10-01,12.383870967741935,31.5,0.0,3.5032258064516126,86.0516129032258,761.8225806451613
1970-11-01,11.05,110.0,0.0,4.636666666666667,88.41333333333334,310.9066666666667
1970-12-01,5.912903225806452,46.2,6.7,4.019354838709678,86.58709677419354,343.29999999999995
1971-01-01,7.461290322580646,139.6,0.0,5.074193548387097,87.0,284.3677419354839
1971-02-01,6.5928571428571425,43.9,0.0,3.942857142857143,88.32857142857142,593.1071428571429
1971-03-01,6.129032258064516,83.3,0.0,4.625806451612903,83.99354838709678,787.0032258064516
1971-04-01,9.35,26.0,0.0,4.526666666666667,86.38000000000001,1162.6
1971-05-01,11.76774193548387,26.2,0.0,3.774193548387097,82.70645161290322,1826.9870967741936
1971-06-01,13.45,58.1,0.0,3.94,85.54666666666667,1427.32
1971-07-01,17.48709677419355,29.0,0.0,3.296774193548387,83.05483870967741,2274.0806451612902
1971-08-01,16.5258064516129,49.400000000000006,0.0,4.080645161290323,85.88709677419355,1184.9419354838708
1971-09-01,16.23,39.6,0.0,2.6933333333333334,85.47666666666667,1278.0733333333333
1971-10-01,13.738709677419354,22.9,0.0,3.2129032258064516,85.70322580645161,869.3741935483871
1971-11-01,8.416666666666666,117.7,0.0,4.760000000000001,84.00333333333333,430.5366666666667
1971-12-01,7.77741935483871,43.9,0.0,4.441935483870967,89.37096774193549,280.4612903225806
1972-01-01,6.190322580645161,120.8,0.0,4.783870967741936,87.90967741935484,300.5258064516129
1972-02-01,7.113793103448276,141.7,0.0,4.69655172413793,87.44827586206897,471.3965517241379
1972-03-01,8.348387096774195,59.3,0.0,4.703225806451614,83.88064516129033,853.683870967742
1972-04-01,9.343333333333334,72.6,0.0,6.75,84.85333333333332,1154.38
1972-05-01,10.351612903225806,69.4,0.0,5.445161290322581,84.99032258064516,1224.9870967741936
1972-06-01,12.156666666666666,70.8,0.0,4.13,87.42,1217.3466666666668
1972-07-01,15.803225806451612,6.9,0.0,3.3161290322580643,88.21612903225805,1463.0096774193548
1972-08-01,15.358064516129033,27.5,0.0,3.512903225806452,87.79032258064517,1554.5709677419354
1972-09-01,13.520000000000001,24.2,0.0,3.6666666666666665,82.02666666666667,1321.7166666666667
1972-10-01,12.370967741935484,84.4,0.0,3.674193548387097,84.84193548387097,609.8032258064517
1972-11-01,9.056666666666667,117.2,0.0,3.896666666666667,87.31333333333333,301.4633333333333
1972-12-01,8.393548387096773,81.3,0.0,5.34516129032258,88.0,270.7354838709677
1973-01-01,6.33225806451613,65.9,0.0,3.9096774193548387,88.03870967741935,293.1354838709678
1973-02-01,6.432142857142857,68.1,0.0,4.2214285714285715,84.14642857142857,482.1607142857143
1973-03-01,7.109677419354839,13.4,0.0,4.038709677419355,76.8483870967742,1232.5096774193548
1973-04-01,8.036666666666667,43.9,0.0,4.093333333333333,82.60333333333332,1211.76
1973-05-01,12.696774193548388,78.3,0.0,4.635483870967741,82.4,1266.8258064516128
1973-06-01,15.370000000000001,19.8,0.0,3.53,84.67666666666668,1997.0233333333333
1973-07-01,15.935483870967742,76.9,0.0,3.306451612903226,87.94193548387096,1444.851612903226
1973-08-01,17.919354838709676,25.3,0.0,2.8129032258064517,87.47419354838709,1608.9290322580646
1973-09-01,15.94,51.4,0.0,3.8699999999999997,85.66666666666667,1148.2133333333334
1973-10-01,11.974193548387097,52.800000000000004,0.0,3.796774193548387,85.7258064516129,629.0903225806452
1973-11-01,10.016666666666667,55.900000000000006,0.0,3.92,84.48666666666666,357.28
1973-12-01,8.02258064516129,66.8,0.0,4.716129032258064,86.10645161290323,279.083870967742
1974-01-01,8.558064516129033,136.0,0.0,6.416129032258064,86.75483870967743,282.0516129032258
1974-02-01,7.5,156.1,0.0,6.082142857142857,86.38571428571429,493.575
1974-03-01,7.5,56.9,0.0,3.532258064516129,89.3741935483871,764.7645161290322
1974-04-01,9.126666666666667,40.0,0.0,4.316666666666666,84.73333333333333,1377.7166666666667
1974-05-01,11.603225806451613,49.1,0.0,4.629032258064516,85.76451612903226,1654.2806451612903
1974-06-01,14.686666666666667,39.9,0.0,4.003333333333333,85.76,1802.3866666666665
1974-07-01,15.896774193548387,44.6,0.0,4.33225806451613,88.66451612903225,1528.7225806451613
1974-08-01,15.719354838709679,62.8,0.0,3.8741935483870966,86.00967741935483,1343.7612903225806
1974-09-01,13.31,134.0,0.0,5.696666666666667,85.62333333333332,826.9699999999999
1974-10-01,9.483870967741936,94.2,0.0,5.32258064516129,85.14193548387097,544.9741935483871
1974-11-01,9.746666666666666,142.9,0.0,5.406666666666666,90.00666666666666,281.15333333333336
1974-12-01,9.906451612903227,46.9,0.0,6.070967741935483,89.53870967741935,218.0225806451613
1975-01-01,8.990322580645161,108.1,0.0,5.72258064516129,89.47096774193548,277.3322580645161
1975-02-01,8.439285714285715,18.2,0.0,3.4785714285714286,85.66428571428571,717.9107142857143
1975-03-01,6.758064516129032,96.9,0.3,5.009677419354839,82.29354838709678,693.4161290322581
1975-04-01,8.76,44.3,5.4,5.286666666666666,84.28333333333333,1239.1433333333334
1975-05-01,11.17741935483871,31.4,0.0,5.003225806451613,85.1032258064516,1420.7451612903226
1975-06-01,15.120000000000001,36.7,0.0,4.463333333333334,79.28333333333333,2329.213333333333
1975-07-01,17.27741935483871,19.0,0.0,4.377419354838709,83.7258064516129,1914.8806451612904
1975-08-01,18.19677419354839,57.9,0.0,3.6193548387096777,84.99032258064516,1544.164516129032
1975-09-01,14.486666666666668,100.9,0.0,4.1866666666666665,86.97333333333333,964.1733333333334
1975-10-01,11.80967741935484,62.8,0.0,3.7193548387096773,86.21935483870968,807.741935483871
1975-11-01,9.536666666666667,100.1,0.0,4.6466666666666665,87.45666666666666,375.06333333333333
1975-12-01,6.880645161290323,38.9,0.0,4.074193548387097,87.92903225806452,255.5258064516129
1976-01-01,7.670967741935483,37.5,0.0,5.148387096774194,88.29354838709678,285.1741935483871
1976-02-01,7.0793103448275865,39.3,0.0,4.072413793103448,88.89655172413794,495.9724137931035
1976-03-01,7.696774193548387,87.7,0.0,4.309677419354839,84.87096774193549,955.0677419354838
1976-04-01,8.563333333333333,7.800000000000001,0.0,5.28,84.42333333333333,1727.5466666666666
1976-05-01,12.53225806451613,18.8,0.0,4.216129032258064,86.6032258064516,1468.3806451612904
1976-06-01,17.790000000000003,5.9,0.0,3.02,80.68,2262.1200000000003
1976-07-01,17.883870967741935,25.4,0.0,3.2225806451612904,82.16129032258064,1754.7709677419355
1976-08-01,17.58709677419355,9.0,0.0,3.6129032258064515,77.42903225806452,1893.3129032258064
1976-09-01,14.71,106.4,0.0,4.1433333333333335,84.92,949.8433333333334
1976-10-01,12.3,124.10000000000001,0.0,5.229032258064516,91.50967741935484,453.7903225806452
1976-11-01,9.076666666666666,130.4,0.0,3.8333333333333335,89.41000000000001,302.94666666666666
1976-12-01,6.0,98.5,0.4,4.0677419354838715,87.04193548387097,246.2258064516129
1977-01-01,5.916129032258064,123.9,0.7,4.854838709677419,87.18709677419355,327.7838709677419
1977-02-01,8.107142857142858,163.5,0.0,5.614285714285714,89.35714285714286,390.6821428571429
1977-03-01,9.125806451612902,74.3,0.0,5.158064516129032,85.25806451612904,698.1096774193549
1977-04-01,8.27,56.5,0.0,4.736666666666666,82.24666666666667,1092.32
1977-05-01,11.196774193548388,55.2,0.0,5.103225806451612,84.88387096774194,1411.8258064516128
1977-06-01,12.843333333333334,72.39999999999999,0.0,4.456666666666666,87.54666666666667,1261.6633333333334
1977-07-01,16.55806451612903,67.1,0.0,3.9838709677419355,87.08709677419354,1877.3096774193548
1977-08-01,15.72258064516129,65.5,0.0,3.490322580645161,85.75161290322582,1398.7903225806451
