LAMBX,LAMBY,model,order,seasonal_order,train_n,test_n,rmse,mae,bias,aic,bic,model_file,elapsed_seconds
3480,22330,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3834389874198518,1.1701559396224936,-0.4180000765628569,1559.224193859825,1579.2436291953577,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22330.pkl,0.404
3480,22490,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3801863915327237,1.1689205069501907,-0.42577818780388643,1558.705355986584,1578.7247913221167,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22490.pkl,0.409
3480,22410,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3824498442240527,1.169566511469884,-0.4210731923204056,1559.2628043460118,1579.2822396815445,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22410.pkl,0.475
3480,22650,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3765063845304035,1.1691359947585862,-0.439386304190073,1558.1723072987759,1578.1917426343086,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22650.pkl,0.44
3480,22730,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.387751159301334,1.1426553777288098,-0.3914044979835012,1538.432542048524,1558.4519773840568,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22730.pkl,0.422
3480,23450,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4439327318698048,1.17897263668286,-0.48865589902689743,1530.3351814278778,1550.3546167634106,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23450.pkl,0.232
3480,22570,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3808393432183588,1.1702211275243437,-0.4262273708959375,1558.573728982969,1578.5931643185017,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22570.pkl,0.503
3480,22810,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3943182378902947,1.141021257588584,-0.3887220256440202,1538.58100942102,1558.6004447565529,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_22810.pkl,0.46
3480,23530,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4290764791265684,1.1665620825569223,-0.5167764609359257,1511.2655108068643,1531.284946142397,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23530.pkl,0.289
3480,23050,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3321417367867052,1.0426510051824083,-0.20034088819469686,1549.6745158915282,1569.693951227061,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_23050.pkl,0.457
