LAMBX,LAMBY,order,seasonal_order,ar.L1,ma.L1,ma.L2,ma.S.L12,sigma2,source_model
8440,19370,"(1, 0, 2)","(0, 1, 1, 12)",-0.0051907796200639155,0.10183471110669448,0.05982018959162556,-1.1573127469176752,1.7789096892454448,sarima_lambx_8440_lamby_19370.pkl
8440,19450,"(1, 0, 2)","(0, 1, 1, 12)",0.9689683780642677,-0.8497743389266805,-0.07967417438629908,-1.0742691598579202,2.114814614263958,sarima_lambx_8440_lamby_19450.pkl
8440,19530,"(1, 0, 2)","(0, 1, 1, 12)",0.9945789334091034,-0.8849641220679066,-0.07424050553882372,-1.0676761324299293,2.287203828110691,sarima_lambx_8440_lamby_19530.pkl
8440,19610,"(1, 0, 2)","(0, 1, 1, 12)",0.9860559868106766,-0.8760261165066443,-0.07538542612489489,-1.0695592765041622,2.1914586599141868,sarima_lambx_8440_lamby_19610.pkl
8440,19690,"(1, 0, 2)","(0, 1, 1, 12)",0.919496687718638,-0.7944777704747088,-0.08686313023240005,-0.9316880029277476,2.331627466548052,sarima_lambx_8440_lamby_19690.pkl
8440,19770,"(1, 0, 2)","(0, 1, 1, 12)",0.9357484169326721,-0.8055057737175031,-0.0788625675296111,-1.0875885023735723,2.2099480804215785,sarima_lambx_8440_lamby_19770.pkl
8440,19850,"(1, 0, 2)","(0, 1, 1, 12)",0.9464342801315705,-0.8363114347276764,-0.061816516318713995,-1.0815890936894053,2.2960242971721843,sarima_lambx_8440_lamby_19850.pkl
8440,20010,"(1, 0, 2)","(0, 1, 1, 12)",0.950324236532094,-0.830187608850807,-0.06867002625411495,-1.0807204751498813,2.3362094246619365,sarima_lambx_8440_lamby_20010.pkl
8440,19930,"(1, 0, 2)","(0, 1, 1, 12)",0.9497950858111256,-0.836511211560183,-0.060524217685395634,-1.0792343705222118,2.3551289954885952,sarima_lambx_8440_lamby_19930.pkl
8440,20090,"(1, 0, 2)","(0, 1, 1, 12)",0.9450196827960915,-0.8198724595942989,-0.07400806113972985,-1.0843334400660372,2.2533025368929174,sarima_lambx_8440_lamby_20090.pkl
