LAMBX,LAMBY,n_observations,MAE,RMSE,R2,Bias,T_observed_mean,T_predicted_mean,mean_absolute_error,temperature_mean_difference
9720,23930,312,1.6006511761923319,2.039531394285864,0.8950216750153711,0.0646237141766155,8.87051282051282,8.805889106336204,1.6006511761923319,0.06462371417661572
9720,24010,312,1.5520731049279373,1.981569707114323,0.9045289342040213,0.2661519670142577,10.11474358974359,9.848591622729332,1.5520731049279373,0.2661519670142578
9720,24090,312,1.6353126274445693,2.0731557984692945,0.9034023831014985,0.26031361772225076,10.530448717948717,10.270135100226467,1.6353126274445693,0.26031361772225026
9720,24170,312,1.6181656712642274,2.0574160105908916,0.9055963988728822,0.2652986141088872,10.64198717948718,10.376688565378291,1.6181656712642274,0.2652986141088878
9720,24250,312,1.5988578829245692,2.0156931481416,0.9086681744735886,0.34773497757239213,11.101923076923077,10.754188099350685,1.5988578829245692,0.3477349775723919
9720,24330,312,1.6039247910563763,2.0219075889796616,0.9082592191111265,0.33328845565899823,11.08397435897436,10.750685903315361,1.6039247910563763,0.3332884556589981
9720,24410,312,1.5997722199329962,2.0021383082235427,0.9056806734132372,0.272337029606868,10.489423076923076,10.21708604731621,1.5997722199329962,0.27233702960686657
9720,24490,312,1.5878393962406194,1.99602431731227,0.9067520175196433,0.22052483449761687,10.262500000000001,10.041975165502382,1.5878393962406194,0.22052483449761873
9720,24570,312,1.5712533452763007,1.9729074567873737,0.9066640146798474,0.22025890090526679,10.082692307692309,9.86243340678704,1.5712533452763007,0.220258900905268
9720,24650,312,1.5812510886540014,1.9838969069492198,0.9055638245763109,0.2428468944075015,10.06923076923077,9.826383874823268,1.5812510886540014,0.24284689440750284
9720,24730,312,1.570759542176548,1.9826854357679449,0.9063444630280983,0.2640262251910873,10.142307692307693,9.878281467116604,1.570759542176548,0.2640262251910883
9720,24810,312,1.5715017977385568,1.984524230778219,0.9068983207604876,0.2824323346551795,10.212179487179487,9.929747152524309,1.5715017977385568,0.28243233465517825
9720,24890,312,1.5747644004913477,1.9877574879760704,0.9058482781529331,0.27063670483155133,10.138782051282051,9.8681453464505,1.5747644004913477,0.270636704831551
9720,24970,312,1.5827266328705427,1.988100120562037,0.9052769265939463,0.2541012218842904,10.086217948717948,9.83211672683366,1.5827266328705427,0.2541012218842891
9720,25050,312,1.6130533081001768,2.019939798348559,0.9034425194632162,0.36398306238488887,10.473397435897436,10.109414373512546,1.6130533081001768,0.3639830623848894
9720,25130,312,1.6072829857182047,2.0165648447028017,0.9035520310027408,0.3174779903525726,10.175961538461538,9.858483548108966,1.6072829857182047,0.31747799035257174
9800,18490,312,1.0237766351455297,1.3224372430361038,0.9510243674004975,0.5209872875458155,15.892628205128204,15.37164091758239,1.0237766351455297,0.5209872875458146
9800,18570,312,1.0066456935344599,1.2868958427188992,0.9535562457834332,0.3764834079986964,15.458012820512819,15.081529412514124,1.0066456935344599,0.37648340799869473
9800,18650,312,1.0319911574706053,1.3086080970119183,0.9519514373352173,0.2958239650114989,15.143910256410255,14.848086291398758,1.0319911574706053,0.2958239650114969
9800,18730,312,1.2042291164398193,1.5328267930747264,0.9328283568115131,-0.08992588336651149,11.960256410256411,12.050182293622921,1.2042291164398193,-0.08992588336650975
9800,18810,312,1.1750574300686516,1.4974163239802813,0.9430878746709325,-0.11028161942958824,11.19198717948718,11.302268798916767,1.1750574300686516,-0.11028161942958725
9800,18890,312,1.1069041174191694,1.4116002443420606,0.9500347409421531,-0.06786063558016062,11.673717948717949,11.741578584298109,1.1069041174191694,-0.06786063558016053
9800,18970,312,1.2468683479688105,1.5719491265921781,0.9354068148377093,-0.07073515852292374,10.803205128205128,10.873940286728052,1.2468683479688105,-0.07073515852292367
9800,19050,312,1.3367264624207447,1.6599949520661355,0.9251333217730242,-0.0016175296444159572,9.73397435897436,9.735591888618774,1.3367264624207447,-0.0016175296444149723
9800,19130,312,1.2962821865000593,1.6161414481489476,0.9270581653463323,0.024693736598755234,8.88974358974359,8.865049853144834,1.2962821865000593,0.02469373659875629
9800,19210,312,1.3652050387362042,1.6932564201451874,0.9179435034315528,-0.05618081520377204,6.8945512820512835,6.950732097255054,1.3652050387362042,-0.05618081520377061
9800,19290,312,1.4385206883967232,1.7969718404178476,0.9045019521582107,-0.08056159340448146,5.257692307692308,5.338253901096789,1.4385206883967232,-0.08056159340448144
9800,19770,312,1.4489277238578488,1.8099678612444774,0.9138639692490946,-0.016472934379588678,3.5208333333333335,3.537306267712922,1.4489277238578488,-0.016472934379588633
9800,20410,312,1.5747840982026013,1.964446056779227,0.8910338643387579,-0.05126545075804759,1.2381410256410257,1.2894064763990731,1.5747840982026013,-0.05126545075804745
9800,20490,312,1.5845987908828716,1.9691294953887692,0.8934492249877489,-0.051179991309077306,1.6884615384615387,1.7396415297706158,1.5845987908828716,-0.05117999130907713
9800,20570,312,1.5816304900134222,1.9860910328895762,0.8881954320996627,-0.08177051859406322,1.0474358974358975,1.1292064160299606,1.5816304900134222,-0.08177051859406315
