================================================================================
EXTRACTION DU PATCH SPATIAL SAFRAN 5 × 5
================================================================================
Centre : LAMBX=6440, LAMBY=22010
Coordonnées X : [6280, 6360, 6440, 6520, 6600]
Coordonnées Y : [21850, 21930, 22010, 22090, 22170]
Source : /home/lab-c0de80861d/climate_project/data/processed/safran_quot_clean.csv
Bloc 0093 | lignes lues=93,000,000 | lignes retenues=233,720 | durée=61.5s
Bloc 0094 | lignes lues=94,000,000 | lignes retenues=237,400 | durée=62.1s
Bloc 0095 | lignes lues=95,000,000 | lignes retenues=241,925 | durée=62.8s
Bloc 0096 | lignes lues=96,000,000 | lignes retenues=241,925 | durée=63.5s
Bloc 0097 | lignes lues=97,000,000 | lignes retenues=246,525 | durée=64.1s
Bloc 0098 | lignes lues=98,000,000 | lignes retenues=246,525 | durée=64.8s
Bloc 0099 | lignes lues=99,000,000 | lignes retenues=251,050 | durée=65.5s
Bloc 0100 | lignes lues=100,000,000 | lignes retenues=251,050 | durée=66.1s
Bloc 0101 | lignes lues=101,000,000 | lignes retenues=255,650 | durée=66.8s
Bloc 0102 | lignes lues=102,000,000 | lignes retenues=255,650 | durée=67.5s
Bloc 0103 | lignes lues=103,000,000 | lignes retenues=260,200 | durée=68.2s
Bloc 0104 | lignes lues=104,000,000 | lignes retenues=264,800 | durée=68.8s
Bloc 0105 | lignes lues=105,000,000 | lignes retenues=264,800 | durée=69.5s
Bloc 0106 | lignes lues=106,000,000 | lignes retenues=269,325 | durée=70.1s
Bloc 0107 | lignes lues=107,000,000 | lignes retenues=269,325 | durée=70.8s
Bloc 0108 | lignes lues=108,000,000 | lignes retenues=273,925 | durée=71.4s
Bloc 0109 | lignes lues=109,000,000 | lignes retenues=273,925 | durée=72.1s
Bloc 0110 | lignes lues=110,000,000 | lignes retenues=278,475 | durée=72.8s
Bloc 0111 | lignes lues=111,000,000 | lignes retenues=278,475 | durée=73.4s
Bloc 0112 | lignes lues=112,000,000 | lignes retenues=283,075 | durée=74.1s
Bloc 0113 | lignes lues=113,000,000 | lignes retenues=287,600 | durée=74.8s
Bloc 0114 | lignes lues=114,000,000 | lignes retenues=287,600 | durée=75.4s
Bloc 0115 | lignes lues=115,000,000 | lignes retenues=292,200 | durée=76.1s
Bloc 0116 | lignes lues=116,000,000 | lignes retenues=292,200 | durée=76.7s
Bloc 0117 | lignes lues=117,000,000 | lignes retenues=296,725 | durée=77.4s
Bloc 0118 | lignes lues=118,000,000 | lignes retenues=296,725 | durée=78.1s
Bloc 0119 | lignes lues=119,000,000 | lignes retenues=301,325 | durée=78.7s
Bloc 0120 | lignes lues=120,000,000 | lignes retenues=301,325 | durée=79.4s
Bloc 0121 | lignes lues=121,000,000 | lignes retenues=305,850 | durée=80.0s
Bloc 0122 | lignes lues=122,000,000 | lignes retenues=310,450 | durée=80.7s
Bloc 0123 | lignes lues=123,000,000 | lignes retenues=310,450 | durée=81.3s
Bloc 0124 | lignes lues=124,000,000 | lignes retenues=315,000 | durée=82.0s
Bloc 0125 | lignes lues=125,000,000 | lignes retenues=315,000 | durée=82.7s
Bloc 0126 | lignes lues=126,000,000 | lignes retenues=319,600 | durée=83.3s
Bloc 0127 | lignes lues=127,000,000 | lignes retenues=319,600 | durée=83.9s
Bloc 0128 | lignes lues=128,000,000 | lignes retenues=324,125 | durée=84.6s
Bloc 0129 | lignes lues=129,000,000 | lignes retenues=324,125 | durée=85.3s
Bloc 0130 | lignes lues=130,000,000 | lignes retenues=328,725 | durée=86.0s
Bloc 0131 | lignes lues=131,000,000 | lignes retenues=332,345 | durée=86.6s
Bloc 0132 | lignes lues=132,000,000 | lignes retenues=333,250 | durée=87.3s
Bloc 0133 | lignes lues=133,000,000 | lignes retenues=337,850 | durée=87.9s
Bloc 0134 | lignes lues=134,000,000 | lignes retenues=337,850 | durée=88.6s
Bloc 0135 | lignes lues=135,000,000 | lignes retenues=342,375 | durée=89.2s
Bloc 0136 | lignes lues=136,000,000 | lignes retenues=342,375 | durée=89.9s
Bloc 0137 | lignes lues=137,000,000 | lignes retenues=346,975 | durée=90.5s
Bloc 0138 | lignes lues=138,000,000 | lignes retenues=346,975 | durée=91.2s
Bloc 0139 | lignes lues=139,000,000 | lignes retenues=351,525 | durée=91.9s
Bloc 0140 | lignes lues=140,000,000 | lignes retenues=353,365 | durée=92.5s
Bloc 0141 | lignes lues=141,000,000 | lignes retenues=356,125 | durée=93.2s
