LAMBX,LAMBY,train_n,test_n,rmse,mae,bias,aic,bic
7880,18730,432,48,1.1537232111156377,0.9312113503363836,-0.12803409562608037,1423.7746495186625,1443.7940848541953
9000,21690,432,48,1.3471624750257138,1.0741052754913192,-0.24710134300348172,1610.669357170698,1630.6887925062308
9480,24010,432,48,1.501509423760845,1.2046068975454187,-0.13354227142897926,1678.1358345129086,1698.1552698484413
6840,22090,432,48,1.392227263942142,1.1225278663403697,-0.44036118940962643,1609.6088078644266,1629.6282431999593
6040,25770,432,48,1.6114886436701665,1.267909885767038,-0.4086558557819357,1577.9985063753352,1598.017941710868
6120,19210,432,48,1.5889326543875546,1.3029205053241182,-0.1211211761046291,1615.238741139628,1635.2581764751608
8280,18730,432,48,1.5153550347213411,1.1454048063128373,0.5143306182613688,1470.0903483170773,1490.10978365261
6440,19050,432,48,1.626706921759322,1.328890094498046,-0.2153915877800263,1601.7523396263557,1621.7717749618885
8920,24970,432,48,1.4992705895352325,1.1708435184618204,0.14516274879275767,1629.8721526139302,1649.891587949463
8840,24570,432,48,1.5254087419964988,1.183582913513123,-0.013869048817891638,1624.8182115039144,1644.8376468394472
2520,24010,432,48,1.2895494907571532,1.050261515265037,-0.5166584999044431,1442.121318381654,1462.1407537171867
9880,18650,432,48,1.0358416366067627,0.8888527390281057,-0.4295749497531199,1232.550015451323,1252.5694507868557
5960,26410,432,48,1.620451575184751,1.2920343008392463,-0.2733626752382656,1544.8442962545619,1564.8637315900946
6280,24650,432,48,1.5092773249151163,1.208630974261424,-0.24592229842781668,1595.5067668452793,1615.526202180812
7560,19770,432,48,1.5527762799056268,1.2624041332205633,-0.36398240847050234,1580.840527063492,1600.8599623990247
10280,23610,432,48,1.5341046545433012,1.2479359659550557,0.17281097890363872,1690.4425805312355,1710.4620158667683
4840,17770,432,48,1.3308517683274488,1.0641596947049972,0.06243953832095183,1518.8920924682743,1538.911527803807
3240,23930,432,48,1.3171180315788231,1.0193842738004084,-0.13568954482601067,1394.3423145033848,1414.3617498389176
8760,21050,432,48,1.4069430801503984,1.137670941446695,-0.33731700224806604,1577.7500587255,1597.7694940610327
1400,24010,432,48,1.4178040297386423,1.1524807715339682,-0.47401854805133264,1394.4111432525895,1414.4305785881222
2680,24010,432,48,1.2774355119896248,1.039860558535563,-0.5036575280471359,1442.0815374419906,1462.1009727775233
5800,25530,432,48,1.6618624133388982,1.3290359926458015,-0.4849190856022032,1584.9895717579939,1605.0090070935266
3800,24170,432,48,1.3867071959599278,1.1061441681587805,-0.3341075119659833,1515.9598514450865,1535.9792867806193
6360,20810,432,48,1.5395449352853041,1.2151296483672989,-0.2976722663787634,1626.300566760186,1646.3200020957188
7080,19610,432,48,1.5208237357795904,1.2243896078045664,-0.21898336161817625,1610.1833205795797,1630.2027559151124
6600,17770,432,48,1.1877581999871598,0.9777113141151478,-0.4774136226335308,1394.4437312080536,1414.4631665435863
3560,22090,432,48,1.4448468070392682,1.2316708654052186,-0.551060570435519,1557.7040449019314,1577.7234802374642
7240,25290,432,48,1.5645316862299885,1.2660903263955863,-0.10352846140805476,1601.531070928178,1621.5505062637108
9640,19130,432,48,1.554992048052959,1.21194430741364,-0.33628879564357317,1467.4202001239923,1487.439635459525
6360,24570,432,48,1.5238867528034352,1.2186280145834996,-0.23658317921250063,1597.4800566856784,1617.4994920212112
9800,22890,432,48,1.5427087550306806,1.2176779929019879,-0.020203384383127927,1661.9266322714238,1681.9460676069566
1000,24170,432,48,1.1134857558876041,0.9368547135818671,-0.45249343037009937,1311.5325509872991,1331.551986322832
8680,24570,432,48,1.5458227076861404,1.1988363718159596,-0.2118574606423702,1630.1470824996036,1650.1665178351363
4440,21050,432,48,1.2810596283500317,1.051497664169384,-0.20406966526477413,1552.700386538637,1572.7198218741698
10360,23050,432,48,1.5421875896112192,1.218128332145823,-0.034630276232112844,1660.04061844647,1680.0600537820028
4440,19690,432,48,1.3483938820261843,1.068267081199745,-0.34594647346098845,1531.8902311681381,1551.909666503671
5560,23290,432,48,1.474716259456346,1.1542956480838402,-0.23464666077724053,1601.688321224043,1621.7077565595757
6920,20970,432,48,1.4135002572459374,1.110595721409705,0.09715727994609856,1636.1132659437149,1656.1327012792476
8760,23210,432,48,1.298813002516192,1.0667560226961899,0.06211219750239536,1619.5380357973863,1639.557471132919
6360,20410,432,48,1.505887625984546,1.2063193017902907,-0.16005014262289186,1616.5313387986102,1636.550774134143
9960,25050,432,48,1.6651270665448812,1.319497079137322,-0.06379432706080183,1684.9421232815014,1704.9615586170341
9480,20970,432,48,1.792994427376636,1.4150136093462053,-0.2894564880587042,1647.731221810277,1667.7506571458098
7480,21450,432,48,1.372294872673456,1.1479383261622376,-0.29984822088932905,1628.9027432668709,1648.9221786024036
5480,22810,432,48,1.4466935259019063,1.1712360278430864,-0.5708504179871413,1575.2265046601865,1595.2459399957193
1480,23690,432,48,1.235883057894796,0.9943886897866995,-0.3562807998201299,1379.3715158779,1399.3909512134328
1000,24010,432,48,1.1943993569438998,1.0009034868044,-0.42945642376860604,1352.51649395005,1372.5359292855828
7000,19050,432,48,1.6757139327820414,1.352308664402731,-0.2958366758494044,1612.0687286821176,1632.0881640176503
3720,24730,432,48,1.3787592754968625,1.1394523809278303,-0.5904586106147915,1437.8399377057588,1457.8593730412915
9000,20890,432,48,1.6612646702752316,1.3068435524721813,-0.28393737899072724,1611.63026571557,1631.6497010511027
4360,18330,432,48,1.2530148570645938,1.0177323147230897,-0.22729168723262405,1501.1737500893623,1521.193185424895
6120,24410,432,48,1.6686359203122254,1.3395836318413048,-0.4509673118722322,1594.591747749575,1614.6111830851078
11640,23610,432,48,1.6618982823214246,1.3682288532071893,0.2715540175054042,1704.9170497339585,1724.9364850694913
4040,17610,432,48,1.573326246419395,1.2486981665747994,-0.03838738245837799,1603.7204263785434,1623.7398617140761
10200,22650,432,48,1.5554926511188198,1.2309275338976344,0.011440121649640145,1667.2646175545137,1687.2840528900465
9160,22650,432,48,1.4474694383415359,1.1775938800761203,-0.10601225464951214,1645.525262378615,1665.5446977141478
1560,23530,432,48,1.3474355328035352,1.121606191068789,-0.46580686877986466,1455.7566738479877,1475.7761091835205
3480,23850,432,48,1.4477401629937434,1.177737495854455,-0.5150933918727184,1517.1975680342016,1537.2170033697344
