order,seasonal_order,aic,bic
"(1, 1, 2)","(0, 0, 0, 12)",1882.2658451233315,1898.5023379056586
"(1, 2, 0)","(1, 0, 0, 12)",1885.0811058814677,1897.180364546864
"(1, 0, 2)","(0, 0, 0, 12)",1885.6858195518607,1901.9316472275727
"(0, 1, 2)","(0, 0, 0, 12)",1888.9256941079616,1901.103063694707
"(1, 2, 1)","(0, 0, 1, 12)",1901.6477320484228,1917.7704730894677
"(2, 2, 1)","(0, 0, 1, 12)",1903.7012612892836,1923.85468759059
"(0, 2, 2)","(0, 0, 1, 12)",1904.2643005363711,1920.3774146172939
"(2, 2, 2)","(0, 0, 0, 12)",1904.6151582850327,1924.8990783511758
"(2, 1, 1)","(0, 0, 0, 12)",1905.3755820438273,1921.6214097195393
"(2, 2, 0)","(0, 0, 1, 12)",1906.0422970513555,1922.1746419385506
"(2, 1, 0)","(0, 0, 0, 12)",1909.5355137435126,1921.7198845002968
"(1, 2, 0)","(0, 0, 1, 12)",1910.343208466703,1922.4424671320994
"(2, 0, 1)","(0, 0, 0, 12)",1921.6793085896713,1937.9344494244217
"(1, 1, 1)","(0, 0, 0, 12)",1924.5414291405402,1936.7257998973244
"(2, 2, 0)","(0, 1, 0, 12)",1928.7649399990607,1940.8569957798445
"(2, 0, 0)","(0, 0, 0, 12)",1929.2246907237377,1941.4160463498006
"(1, 1, 0)","(0, 0, 0, 12)",1935.477996555407,1943.605566972782
"(0, 1, 1)","(0, 0, 0, 12)",1945.0659764371726,1953.1888902750286
"(1, 0, 1)","(0, 0, 0, 12)",1946.6849532599385,1958.8763088860014
"(0, 2, 0)","(0, 1, 1, 12)",1974.2443725402022,1982.2521466744154
"(0, 1, 0)","(0, 0, 0, 12)",1975.7134205692118,1979.7772057778996
"(0, 2, 0)","(1, 1, 1, 12)",1976.2232497085424,1988.234910909862
"(1, 0, 0)","(0, 0, 0, 12)",1977.013746418571,1985.1459625987784
"(1, 2, 2)","(0, 0, 0, 12)",1984.8068052653607,2001.0339413182753
"(0, 2, 2)","(0, 0, 0, 12)",1986.084815976607,1998.2551680162928
"(2, 2, 0)","(0, 0, 0, 12)",1989.5181199409103,2001.6954895276558
"(1, 2, 1)","(0, 0, 0, 12)",1989.5187061028792,2001.6960756896246
"(2, 2, 1)","(0, 0, 0, 12)",1991.517026387598,2007.753519169925
"(1, 2, 0)","(0, 0, 0, 12)",1991.634862324287,1999.757776162143
"(0, 2, 1)","(0, 0, 0, 12)",2007.5266092129348,2015.6448556040984
"(1, 2, 0)","(0, 1, 0, 12)",2034.295554993032,2042.3617274366297
"(0, 2, 0)","(1, 0, 1, 12)",2035.0820265107652,2047.1812851761615
"(0, 2, 0)","(0, 0, 1, 12)",2054.3673118760435,2062.433484319641
"(0, 2, 0)","(1, 0, 0, 12)",2058.5831966317,2066.6541594967493
"(0, 2, 0)","(0, 0, 0, 12)",2110.74470299666,2114.806159915588
"(0, 2, 0)","(1, 1, 0, 12)",2121.2844270157902,2129.2971333349938
"(0, 0, 2)","(0, 0, 1, 12)",2241.3864414142718,2257.518786301467
"(0, 2, 0)","(0, 1, 0, 12)",2310.202465228265,2314.2355514500637
"(0, 0, 1)","(0, 0, 1, 12)",2479.957902149728,2492.0643464473023
"(0, 0, 2)","(0, 0, 0, 12)",2543.9657279557796,2556.1500987125637
"(0, 0, 0)","(0, 0, 1, 12)",2812.1031571507383,2820.1788989905826
"(0, 0, 1)","(0, 0, 0, 12)",2872.3397125494475,2880.467282966823
"(0, 0, 0)","(0, 0, 0, 12)",3368.7653689361523,3372.831477026256
