center_index,LAMBX,LAMBY,existing_cells_5x5,complete_5x5,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
4128,5880,23610,25,True,1.7237280070175185,2.206986719714209,1.4329527044163932,1.8224787530562745,-0.0945102910439688,0.9248173068671307,16.868978250474647,17.42230540960055
4129,5880,23690,25,True,1.6808510144257522,2.1672697339792695,1.3846159801783107,1.768090591175264,-0.010410269138219729,0.9272609887758556,17.6241101504554,18.41852615507543
4130,5880,23770,25,True,1.6808510144257522,2.1672697339792695,1.393032705640484,1.7784646936999993,-0.02023190331613433,0.9264049062411747,17.123368241152455,17.939854655995912
4131,5880,23850,25,True,1.6712765971562247,2.1475832309476206,1.3933000661618835,1.771686350898165,-0.10751871749496812,0.9275421984100447,16.63258681820439,17.50325084646853
4132,5880,23930,25,True,1.6720166131371597,2.150047850935468,1.3902607581661763,1.7668194146581269,-0.08824366799777134,0.9280027842060379,16.851259297138945,17.82418173207642
4133,5880,24010,25,True,1.6672062904717855,2.142973582247949,1.3753790418711336,1.7491367369028548,-0.08218121638902352,0.9293051370722811,17.503967581484517,18.378054149037382
4134,5880,24090,25,True,1.6633672864209932,2.1319472096177243,1.4181360179467073,1.7857104686536458,-0.2563898508246578,0.9275527031354086,14.743061888751045,16.240399358957937
4135,5880,24170,25,True,1.6586494057626222,2.1191410537970574,1.399008511835287,1.7646814748472435,-0.0772758249217553,0.9258759771674117,15.653753772513253,16.726568451623198
4136,5880,24250,25,True,1.6756707684625418,2.1372321661672387,1.5029606285412813,1.8732301238160338,-0.3145167203439153,0.9192150112493499,10.306925630726683,12.352520541773778
4137,5880,24330,25,True,1.7030065997015207,2.168930597718707,1.396081012228261,1.7712529401463828,-0.05844308269123145,0.9242699210462253,18.02257181663614,18.33519514135693
4138,5880,24410,25,True,1.6766882445611522,2.137236412883205,1.4170238554863661,1.7927957123288278,-0.14818346268815316,0.9236082537698875,15.486742387386945,16.116172196865904
4139,5880,24490,25,True,1.6763643869969935,2.1361314538326606,1.4225435565733227,1.795605546651067,-0.185162024625907,0.9234318012712459,15.141149048051572,15.94124306210743
4140,5880,24570,25,True,1.6779833925090157,2.1439672740995386,1.368526278768393,1.7459947382858885,0.002865900274342017,0.9219311185150108,18.442203607146848,18.56243519299042
4141,5880,24650,25,True,1.637141535615171,2.098090615245292,1.3551864341714666,1.7346772587030586,-0.047946420011423345,0.9238159825032866,17.22240229753607,17.321146851407374
4142,5880,24730,25,True,1.6387141436807102,2.104478568094816,1.3694265190922035,1.7501187713353805,-0.03774716168173367,0.9232566961587123,16.432861437545217,16.83836567080069
4143,5880,24810,25,True,1.6401942885660883,2.112772262282109,1.4011881966815847,1.7864911640327663,0.023363057823781057,0.9161767817876909,14.571815884900476,15.443268736257947
4144,5880,24890,25,True,1.6850138689829839,2.169611828116687,1.3808124058782558,1.7633118466117879,-0.02356361923782391,0.9209690628710409,18.053350699619674,18.726851330709437
4145,5880,24970,25,True,1.6888528589183374,2.18004681160626,1.4006201279152333,1.7904866944593376,0.016748818063162522,0.9194648835925457,17.066775798793334,17.86934643205639
4146,5880,25050,25,True,1.6881128641105603,2.1811095129367803,1.4053798608488777,1.7979179573526805,0.07214816536316708,0.9183891490903281,16.74846565491047,17.56865271144259
4147,5880,25130,25,True,1.6985199299264462,2.1988181002102496,1.4108750363613696,1.806899925645386,0.04972283846796055,0.9181601804629977,16.93503199444548,17.824038037861737
4148,5880,25210,25,True,1.637280205683395,2.119732344833324,1.3902553872418117,1.7792010627114052,0.002498767863369782,0.918957743783243,15.087510224828987,16.06482454975678
4149,5880,25290,25,True,1.625023262242715,2.102473085813316,1.373292921209203,1.7641623245175484,-0.026442540122004816,0.91952310544074,15.490876154357057,16.091086424770857
4150,5880,25370,25,True,1.6218778978995325,2.0979936458790798,1.3754210705893883,1.7653175574690771,-0.03519997345309474,0.9190866859706769,15.195769523052652,15.856868254270049
4151,5880,25450,25,True,1.6213691563213677,2.094179483267996,1.3773954393243921,1.765958414651146,-0.02532341610381826,0.9187972769795923,15.04738856328769,15.67301519469842
4152,5880,25530,25,True,1.6223867241703285,2.093359875293858,1.3693952957421514,1.7572859305804067,-0.03934868786976803,0.9191202536132548,15.593780734217624,16.054284248009402
4153,5880,25610,25,True,1.6211841311529762,2.0958418624607407,1.367112024750123,1.7537922906333658,-0.029338085022819583,0.9199699328913549,15.672007979880654,16.32039029060009
4154,5880,25690,25,True,1.6005550670359114,2.0659277199695194,1.3904360154510977,1.7785657311210392,0.006045828474328873,0.9144598022522594,13.127886438417635,13.909585803549792
4155,5880,25770,25,True,1.5984273834651979,2.0574382786575223,1.3727588424188577,1.761314294192605,-0.06602828001998069,0.9149249044565688,14.118160348149063,14.392848987826651
4156,5880,25850,25,True,1.5964384758284973,2.059944586779201,1.3752605215914264,1.7581128649225315,-0.009204801864694601,0.9170359007929945,13.854461514546436,14.652419477389657
4157,5880,25930,25,True,1.5606844158331405,2.018297383163728,1.3584001172371862,1.7519761708117771,-0.023372453412559713,0.9101853427112243,12.961255750604058,13.195340516890829
4158,5880,26010,25,True,1.5576780532709875,2.01815188024062,1.3623348804230386,1.7576422010925383,-0.029512241303534775,0.9097602894116451,12.540664127464936,12.9083287387182
4159,5880,26090,25,True,1.5671137792991334,2.030870635399556,1.3767488957774738,1.7741984153380965,-0.001010357947618624,0.9088901116466434,12.147483229124388,12.638531257849483
4160,5880,26170,25,True,1.567807630738321,2.031243023052488,1.3788483414133867,1.7779902676637203,-0.011954360489046871,0.9085079218906937,12.052453733494621,12.467870782304882
4161,5880,26250,25,True,1.5635984775426761,2.026365275146287,1.3798106967244956,1.7807276938008962,-0.017940926176877512,0.9077732626347748,11.75415450052229,12.122078104978264
