center_index,LAMBX,LAMBY,existing_cells_5x5,missing_cells_5x5,complete_5x5
268,2200,23050,24,1,False
269,2200,23130,25,0,True
270,2200,23210,25,0,True
271,2200,23290,25,0,True
272,2200,23370,25,0,True
273,2200,23450,25,0,True
274,2200,23530,25,0,True
275,2200,23610,25,0,True
276,2200,23690,25,0,True
277,2200,23770,25,0,True
278,2200,23850,25,0,True
279,2200,23930,25,0,True
280,2200,24010,23,2,False
281,2200,24090,20,5,False
282,2200,24170,17,8,False
283,2280,22890,19,6,False
284,2280,22970,22,3,False
285,2280,23050,25,0,True
286,2280,23130,25,0,True
287,2280,23210,25,0,True
288,2280,23290,25,0,True
289,2280,23370,25,0,True
290,2280,23450,25,0,True
291,2280,23530,25,0,True
292,2280,23610,25,0,True
293,2280,23690,25,0,True
294,2280,23770,25,0,True
295,2280,23850,25,0,True
296,2280,23930,25,0,True
297,2280,24010,23,2,False
298,2280,24090,19,6,False
299,2360,22650,11,14,False
300,2360,22730,15,10,False
301,2360,22810,19,6,False
302,2360,22890,21,4,False
303,2360,22970,23,2,False
304,2360,23050,25,0,True
305,2360,23130,25,0,True
306,2360,23210,25,0,True
307,2360,23290,25,0,True
308,2360,23370,25,0,True
309,2360,23450,25,0,True
310,2360,23530,25,0,True
311,2360,23610,25,0,True
312,2360,23690,25,0,True
313,2360,23770,25,0,True
314,2360,23850,25,0,True
315,2360,23930,25,0,True
316,2360,24010,23,2,False
317,2360,24090,18,7,False
318,2440,22010,3,22,False
319,2440,22650,16,9,False
320,2440,22730,19,6,False
321,2440,22810,22,3,False
322,2440,22890,23,2,False
323,2440,22970,24,1,False
324,2440,23050,25,0,True
325,2440,23130,25,0,True
326,2440,23210,25,0,True
327,2440,23290,25,0,True
328,2440,23370,25,0,True
329,2440,23450,25,0,True
330,2440,23530,25,0,True
331,2440,23610,25,0,True
332,2440,23690,25,0,True
333,2440,23770,25,0,True
334,2440,23850,25,0,True
335,2440,23930,25,0,True
336,2440,24010,23,2,False
