center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,MAE_1x1,RMSE_1x1,BIAS_1x1,R2_1x1,MAE_gain_1x1,RMSE_gain_1x1,MAE_5x5,RMSE_5x5,BIAS_5x5,R2_5x5,MAE_gain_5x5,RMSE_gain_5x5,existing_cells_5x5,complete_5x5,MAE_delta_5x5_minus_1x1,RMSE_delta_5x5_minus_1x1,five_x_five_better_MAE,five_x_five_better_RMSE,not_improved_1x1,not_improved_5x5
22,1000,23290,1.2434320449829102,1.6361788511276243,1.0993090867996216,1.423426389694214,-0.1412096917629242,0.8926441669464111,11.590738614531157,13.003007665499744,1.1031713494539923,1.4363802955609897,-0.1170458551031036,0.8906812449031027,11.28012899002789,12.21129426157931,9,False,0.0038622626543707295,0.012953905866775584,False,False,False,False
23,1000,23370,1.2338576316833496,1.6237568855285645,1.088741898536682,1.4105371236801147,-0.1361626237630844,0.8941139578819275,11.761140784831582,13.13126144367619,1.0783281211606006,1.4059694047664262,0.0458068212461515,0.8947986502472842,12.605135479440053,13.412566249045891,14,False,-0.01041377737608129,-0.004567718913688568,True,True,False,False
24,1000,23450,1.225994348526001,1.6162965297698977,1.0835485458374023,1.4058959484100342,-0.1320706456899643,0.8943750858306885,11.618797660842368,13.01744930367553,1.090808300261802,1.4175721644185668,-0.0856328853074319,0.8926134506805345,11.026645672560804,12.295044304731348,19,False,0.007259754424399745,0.011676216008532636,False,False,False,False
25,1000,23530,1.3944494724273682,1.8195744752883911,1.1877464056015017,1.544033408164978,-0.1246870756149292,0.8965026140213013,14.82327405280962,15.143159615917428,1.1749769170233544,1.5272872121096008,-0.05719676004528,0.8987354362393376,15.739020763147945,16.063493173147734,19,False,-0.012769488578147303,-0.016746196055377194,True,True,False,False
26,1000,23610,1.2055041790008545,1.5938639640808103,1.063700795173645,1.3834019899368286,-0.1158970966935157,0.8963644504547119,11.762993965291676,13.204512987741486,1.0665944793729405,1.389226867475377,-0.1763084581006356,0.8954898357769518,11.522953029017469,12.83905953850437,20,False,0.0028936841992954765,0.005824877538548323,False,False,False,False
27,1000,23690,1.2333024740219116,1.6236287355422974,1.0896464586257937,1.4121941328048706,-0.135912224650383,0.8938302993774414,11.648076479376776,13.022349143556326,1.116193392009894,1.447106101771088,-0.1733179048296481,0.8885160675273964,9.495563877590955,10.872101658230486,22,False,0.026546933384100413,0.0349119689662174,False,False,False,False
28,1000,23770,1.2333024740219116,1.6236287355422974,1.0896464586257937,1.4121941328048706,-0.135912224650383,0.8938302993774414,11.648076479376776,13.022349143556326,1.1080286130102337,1.4368500961297546,-0.174822949348612,0.8900906972361948,10.15758958453207,11.503773535693124,22,False,0.01838215438444002,0.024655963324883956,False,False,False,False
29,1000,23850,1.2196576595306396,1.6074424982070925,1.081148386001587,1.3984167575836182,-0.1260800808668136,0.8949456214904785,11.356405828038271,13.003621644731744,1.0864296277070022,1.414668867804746,-0.1191330326584949,0.8924896627100463,10.923397091607235,11.992566222604353,22,False,0.005281241705415329,0.016252110221127936,False,False,False,False
30,1000,23930,1.2225717306137085,1.6112749576568604,1.0784285068511963,1.401328682899475,-0.1299079358577728,0.894824206829071,11.790164957450386,13.029822983328197,1.083974275403724,1.4135565820553149,-0.1221803529300036,0.892980620435476,11.336548670485092,12.27093308140717,24,False,0.005545768552527752,0.012227899155839772,False,False,False,False
31,1000,24010,1.3210452795028689,1.726697564125061,1.1476120948791504,1.4999017715454102,-0.1370432376861572,0.8830908536911011,13.128481461966546,13.134656426910007,1.1492588209069294,1.4893883445779592,-0.0776057247758242,0.8847240432686615,13.003833000690728,13.743533375772069,25,True,0.001646726027779044,-0.010513426967450945,False,True,False,False
32,1000,24090,1.312580943107605,1.7166190147399902,1.1387715339660645,1.4908117055892944,-0.1286601722240448,0.8842224478721619,13.2418050143283,13.15418897331147,1.142977041408599,1.4839597400045708,-0.0780487678097311,0.885284338425498,12.921405283389838,13.553343096679374,24,False,0.004205507442534451,-0.006851965584723674,False,True,False,False
33,1000,24170,1.2097132205963137,1.5963795185089111,1.0737580060958862,1.4180011749267578,-0.1244402825832367,0.876990020275116,11.238631783606513,11.173930855036687,1.067137366196935,1.394189929980649,-0.1351580624223086,0.8810865616156236,11.785922187736736,12.665501622128737,19,False,-0.0066206398989512305,-0.023811244946108756,True,True,False,False
34,1000,24250,1.2150323390960691,1.6008280515670776,1.0801677703857422,1.4237773418426514,-0.1340899169445037,0.8758755922317505,11.099669068122124,11.059945479535315,1.0808914918573116,1.4048499122485838,-0.0553234851988899,0.8791539181337884,11.040111317302673,12.242296814102062,14,False,0.0007237214715694051,-0.01892742959406757,False,True,False,False
35,1080,23290,1.3508325815200806,1.768078327178955,1.159428596496582,1.5179849863052368,-0.1467196196317672,0.8967498540878296,14.169334352900584,14.144924296015375,1.1656658797215578,1.5234329089286,0.1168402408031707,0.8960074116450556,13.707597821480682,13.83679759500617,11,False,0.006237283224975743,0.005447922623363244,False,False,False,False
36,1080,23370,1.3421369791030884,1.7558873891830444,1.1511108875274658,1.503332495689392,-0.1384467631578445,0.8982492685317993,14.232980280692349,14.383319514081007,1.1603596534693714,1.5081370949886492,0.1436072518492495,0.8975978991790088,13.543868758070996,14.109693133894757,16,False,0.009248765941905601,0.00480459929925714,False,False,False,False
37,1080,23450,1.402358889579773,1.830660581588745,1.1911593675613403,1.551280856132507,-0.1324804276227951,0.895855724811554,15.060304718553189,15.26114279544803,1.216197018266055,1.5674534246175835,0.1412208724308631,0.8936728489911718,13.274911918226447,14.377715097287728,21,False,0.025037650704714753,0.016172568485076422,False,False,False,False
38,1080,23530,1.381637454032898,1.8065369129180908,1.179151177406311,1.532342553138733,-0.1084542572498321,0.8973291516304016,14.655528918642467,15.17789964980306,1.1688027112821426,1.523901511367,-0.0041960496576046,0.8984571214528413,15.4045294188423,15.645147222986164,22,False,-0.010348466124168398,-0.008441041771732882,True,True,False,False
39,1080,23610,1.3881590366363523,1.8140575885772705,1.1833491325378418,1.5381790399551392,-0.119055338203907,0.8969559073448181,14.75406626280988,15.207816464001974,1.1789521491715027,1.528704925877459,0.0444000865661028,0.89822128054952,15.07081873990018,15.730074185418315,23,False,-0.004396983366339091,-0.009474114077680174,True,True,False,False
40,1080,23690,1.222386598587036,1.611226201057434,1.0802524089813232,1.4021517038345337,-0.1307264268398285,0.8947084546089172,11.627597175067743,12.976110808382249,1.0994481625764263,1.427105793669867,-0.1873363209035416,0.8909273174731893,10.057255330538409,11.42734786237254,24,False,0.01919575359510306,0.024954089835333315,False,False,False,False
41,1080,23770,1.1979185342788696,1.586796522140503,1.054835319519043,1.3751932382583618,-0.1071465238928794,0.8968783617019653,11.944319305983589,13.335250041807484,1.093603312362685,1.421542613614544,-0.1710359359868249,0.8898098650788716,8.708047824633447,10.414308263184893,24,False,0.03876799284364196,0.04634937535618211,False,False,False,False
42,1080,23850,1.206429123878479,1.5943485498428345,1.0643378496170044,1.3826676607131958,-0.1179225072264671,0.896664023399353,11.777838535982422,13.276951840330364,1.0762390856606117,1.39924774316031,-0.1038567404522044,0.8941710328543357,10.79135747478289,12.237021827033615,24,False,0.011901236043607266,0.016580082447114286,False,False,False,False
43,1080,23930,1.2216004133224487,1.6102513074874878,1.076287865638733,1.397618532180786,-0.126957818865776,0.8952203392982483,11.895260193020228,13.204943496582374,1.100287600648723,1.4355427341581144,-0.2330155844604605,0.8894566606159267,9.930636258734385,10.849773728548596,25,True,0.023999735009990086,0.03792420197732849,False,False,False,False
44,1080,24010,1.3123960494995115,1.7168506383895874,1.1390947103500366,1.4905451536178589,-0.1272104233503341,0.8842761516571045,13.204957391906532,13.181431145577342,1.1415544592815896,1.4805579562880928,-0.0767851096408219,0.8858218177150945,13.017520768025545,13.763150293827293,25,True,0.0024597489315529852,-0.009987197329766051,False,True,False,False
