center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
2090,4360,22650,1.6254856586456299,2.1072020530700684,1.390707015991211,1.7926965951919556,-0.12204953283071518,0.9189253449440002,14.443599757751093,14.925263451594354
2091,4360,22730,1.6016651391983032,2.0872747898101807,1.3700758218765259,1.7742130756378174,-0.12029264122247696,0.9182561635971069,14.459284381858804,14.998586467900257
2092,4360,22810,1.6016651391983032,2.0872747898101807,1.3700758218765259,1.7742130756378174,-0.12029264122247696,0.9182561635971069,14.459284381858804,14.998586467900257
2093,4360,22890,1.6005549430847168,2.0860090255737305,1.3698475360870361,1.7706836462020874,-0.12480957061052322,0.918600857257843,14.41421351978352,15.116203981184444
2094,4360,22970,1.6398704051971436,2.125295877456665,1.3977888822555542,1.807582139968872,-0.12387943267822266,0.9174078106880188,14.762235001886419,14.949153238277582
2095,4360,23050,1.6560591459274292,2.149106502532959,1.4141080379486084,1.8110783100128174,-0.08707720786333084,0.9175378084182739,14.610052338639324,15.728778081576603
2096,4360,23130,1.657631754875183,2.152585983276367,1.4145572185516357,1.8129075765609741,-0.08206412941217422,0.9175947904586792,14.663964756264606,15.78001572779833
2097,4360,23210,1.656105399131775,2.149733781814575,1.4172977209091187,1.8139736652374268,-0.09155838191509247,0.9171383380889893,14.41983573918984,15.618683551306324
2098,4360,23290,1.6572154760360718,2.151353120803833,1.4170658588409424,1.8159120082855225,-0.09446007013320923,0.9169262051582336,14.491152216943343,15.592099189786943
2099,4360,23370,1.6588343381881714,2.1528372764587402,1.4166229963302612,1.8151501417160034,-0.08151380717754364,0.9174357056617737,14.601297807860709,15.685678543164556
2100,4360,23450,1.6606383323669434,2.154517889022827,1.4180183410644531,1.818137288093567,-0.08176709711551666,0.9171866774559021,14.610044015826057,15.612801483018751
2101,4360,23530,1.6585569381713867,2.152484893798828,1.4163910150527954,1.8142343759536743,-0.08318542689085007,0.9174014329910278,14.601001481781335,15.714420055612562
2102,4360,23610,1.659528136253357,2.153615951538086,1.418302297592163,1.817213535308838,-0.08512843400239944,0.9171040058135986,14.535808908054957,15.620353108407912
2103,4360,23690,1.5989824533462524,2.0722787380218506,1.349339485168457,1.7334846258163452,-0.09566372632980347,0.9188072085380554,15.612614613459824,16.34886784240765
2104,4360,23770,1.6042554378509521,2.076746702194214,1.355391502380371,1.7413785457611084,-0.08321650326251984,0.9192478656768799,15.512737535361401,16.148727048838833
2105,4360,23850,1.5919055938720703,2.0647172927856445,1.3517389297485352,1.7441965341567993,-0.07036742568016052,0.9155282974243164,15.086740385110776,15.523711635911654
2106,4360,23930,1.6046253442764282,2.0851552486419678,1.3706568479537964,1.7733352184295654,-0.0576748251914978,0.9145918488502502,14.580880026429782,14.954283639814653
2107,4360,24010,1.6115171909332275,2.0967631340026855,1.3764671087265015,1.7844603061676025,-0.052668247371912,0.914151132106781,14.585639143607825,14.894521120223159
2108,4360,24090,1.5934783220291138,2.0703816413879395,1.3579580783843994,1.7544199228286743,-0.06401010602712631,0.9153680801391602,14.780260289001363,15.261037493911083
