LAMBX,LAMBY,model,order,seasonal_order,exog_vars,train_start,train_end,test_start,test_end,train_n,test_n,rmse,mae,bias,aic,bic,coef_ETP,coef_SWI,seasonal_ma_L12,sigma2,ETP_mean,ETP_scale,SWI_mean,SWI_scale,elapsed_seconds
3080,24970,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0305817585724772,0.8372728178949803,-0.09232576867997892,1284.5799814115733,1300.6152341533436,1.5368975732306875,-0.07475092762289508,-1.0207698784122743,1.2096661507778048,51.20231628417969,25.276809692382812,0.6617453694343567,0.2563824951648712,0.155
3160,17850,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1158189412157529,0.8985098756667452,-0.2019603552702698,1377.268470692351,1393.3037234341214,5.125961000219253,-0.19553397252463076,-1.1137334184206147,1.3231839941029426,62.805320739746094,36.869869232177734,0.8951320052146912,0.20272882282733917,0.142
3160,17930,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1034031048164255,0.888531693793874,-0.245933511773748,1372.5344237302402,1388.5696764720105,4.561884296976016,-0.19560008585306227,-1.0725614091089537,1.395610695703755,62.714813232421875,36.175018310546875,0.9000138640403748,0.24504496157169342,0.136
3160,18010,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1294717442848983,0.8998134960770665,-0.3816985698734423,1339.1562739980343,1355.1915267398047,4.0872043900591235,-0.11980615372373997,-1.0572255050070976,1.3158866944491536,61.47014236450195,33.71894836425781,0.8212152123451233,0.2084575742483139,0.135
3160,18090,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1142299256521038,0.890528631910512,-0.41735261943291596,1334.0619715826222,1350.0972243243925,3.876454534490022,-0.08846107199312117,-1.0530838793849744,1.3074674640977981,61.50532531738281,33.179054260253906,0.8091087341308594,0.23865863680839539,0.143
3160,18330,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0273618210881739,0.7974508956952606,-0.32924203103374805,1332.4117974836277,1348.447050225398,3.4052626020610166,0.027611684546205224,-0.9597470932297254,1.4364156987226455,61.02916717529297,33.89008331298828,0.7450694441795349,0.24658600986003876,0.116
3160,18170,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.067515261002071,0.8415347901254867,-0.3924301946846884,1322.478744571561,1338.5139973133314,3.6852779593292944,-0.08096624680436067,-1.044505040220101,1.2865438773583873,62.921295166015625,33.681949615478516,0.7619282603263855,0.24529950320720673,0.147
3160,18250,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0503213862791196,0.8221807586108539,-0.3821741932144807,1317.6036136296286,1333.638866371399,3.6076072629541276,-0.06297246767118002,-1.0389505815669176,1.2811420220355862,63.51759338378906,33.895259857177734,0.7694838047027588,0.2529963254928589,0.161
3160,18410,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,0.9861290531063523,0.7569471404621106,-0.27907826498787075,1334.6143281136292,1350.6495808553996,3.3444977476677082,0.07915466290211033,-0.9612983536068175,1.4429272943938038,61.68032455444336,34.23814392089844,0.7312824130058289,0.22901849448680878,0.123
3160,18490,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0625858054217299,0.8141874698380057,-0.4356810374342411,1349.5135169061537,1365.548769647924,3.4488232583668545,0.13574701507788464,-0.977438158165668,1.4809388783516417,59.47245788574219,34.711708068847656,0.7149884104728699,0.2023410201072693,0.123
3160,18730,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1244120706383214,0.8549752103886782,-0.16155617393323662,1351.7765728799866,1367.811825621757,3.5945437125453075,0.26547560133273934,-0.9999856674664174,1.4603161324758085,59.74907684326172,35.76805114746094,0.7690555453300476,0.21864065527915955,0.119
3160,18570,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.041046360216205,0.7999844694565761,-0.41999827028119535,1351.2717986573243,1367.3070513990947,3.395388054827339,0.13127730569404683,-0.9770979506660469,1.4877176656258422,59.57847213745117,34.81676483154297,0.7148101925849915,0.20766788721084595,0.122
3160,18810,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1277376120115856,0.8596380341977831,-0.16630316241982188,1353.7707748226255,1369.806027564396,3.613210650115615,0.26920806528414715,-1.0000303578523357,1.4674085154783263,59.70231628417969,35.78199005126953,0.7708263993263245,0.21715277433395386,0.116
3160,18650,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0800435278169036,0.8371097234968824,-0.4563323192095263,1349.9048604008506,1365.940113142621,3.508419414751102,0.134883816028402,-0.9700197072216902,1.490077056273285,59.19883728027344,34.62504196166992,0.7943263649940491,0.20537017285823822,0.123
3160,18970,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1829447796458297,0.9344414396010846,-0.6692239294985024,1332.0702470736237,1348.105499815394,3.5240502732537458,0.07706660830928572,-0.958998915476726,1.4358139736632975,61.844905853271484,34.61732482910156,0.7616874575614929,0.21091563999652863,0.122
3160,18890,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2026730228048874,0.9480943494287773,-0.6821924471404528,1336.8628676913113,1352.8981204330817,3.5851137024846285,0.059916174394950054,-0.9538252212179699,1.4568736728917053,61.56389236450195,34.46537399291992,0.7521273493766785,0.21992002427577972,0.126
3160,19210,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0065937353305061,0.7718534452825451,-0.25410394633843925,1381.21837665393,1397.2536293957003,2.81846233359004,0.09397555032338348,-0.9175314609044337,1.6484072134986618,65.05972290039062,37.09318542480469,0.7123264074325562,0.2702842652797699,0.123
3160,19050,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.0105879694927982,0.7804469014943699,-0.25006529137564115,1381.7812430504846,1397.816495792255,2.8752259770207558,0.1053136116318633,-0.9168877515484937,1.6510121517207985,64.95740509033203,36.94906234741211,0.6817569136619568,0.22577691078186035,0.129
